dgv_organization_id,dgv_organization_name,dgv_nb_datasets,geop_organization_id,geop_organization_name,geoc_organization_name,geoc_organization_uuid,geoc_organization_url
614aedaf4d541a81d5323e73,Ville d'Annecy,1.0,,,,,
6149dc33ed84fd45f57f56df,SPIE CITYNETWORKS,1.0,,,,,
61489458d5f7754d3b10b4fb,Commune de Lantabat,3.0,,,,,
61484aaaffc949c8b4971434,Préfecture de la région Hauts-de-France,1.0,,,Préfecture de la région Hauts-de-France,0709d43ca86491e10b8d95b9ae7ad916,http://www.geocatalogue.fr/www/dcat/0709d43ca86491e10b8d95b9ae7ad916/catalog.rdf
614833500282f92b951e98fe,Sgar Centre-Val de Loire,1.0,,,,,
6144af46ee4cc1390c38b9e3,Dati Plus,0.0,,,,,
61446c4d1aee325437521b9c,Commune d'Urepel,3.0,,,,,
614454aa7579155a3d0d11fc,Brasserie Castelain,1.0,,,,,
614359a8d6f6b32470dfe28b,Aincille,3.0,,,,,
614312ec19738ecab0bc9ddf,Transdev Mont Blanc Bus,1.0,,,,,
6143016ad96b4ea765b9809c,Systèmes Solaires,1.0,,,,,
6142f66eee68105bb9b97c80,ECO-PI SAS,1.0,,,,,
6141ebc48d267374bb8db1aa,SELECTE ,2.0,,,,,
6141af60c88561c012cd86b0,Uhart-Mixe,2.0,,,,,
61419c7f7a54d6f43e48a7c9,Institut national de la santé et de la recherche médicale,1.0,,,,,
6140ddc9275575da7923f139,cabinet igman,0.0,,,,,
6140c5605833c2f21faa3cca,SUD UP,0.0,,,,,
6140a2d31d5f58c738ddf12a,DPD FRANCE,1.0,,,,,
614064f28fc364e3e16f6527,mairie hesdin,0.0,,,,,
613f4fec09785810493392f5,Communauté d'agglomération Le Cotentin,0.0,,,,,
613d2b752721e5fb29f9eda5,open agence,0.0,,,,,
613a4286ffb3b136ba8651e4,clunisois.fr,0.0,,,,,
613a10e44eab7759838baae1,Groupement de Coopération Sanitaire Système d'information Auvergne Rhône Alpes,0.0,,,,,
6139b82217ddb7b0890b8825,Villes à vivre,0.0,,,,,
61372afd96823e0518270b92,HERVE THERMIQUE,1.0,,,,,
61362305cfb1d1be7a46e12a,SYNDICAT ENERGIES HAUTE-VIENNE,0.0,,,,,
6136092ff8171447633d3212,Dott,1.0,,,,,
613223576dd16669069c5bcc,HFOOD PESSAC - HIPPOPOTAMUS,1.0,,,,,
61322119e8f2ff4e8225c747,Préfecture des Landes,0.0,,,Préfecture des Landes,81bbfc2b3e0c3589fb5f868f157f0f65,http://www.geocatalogue.fr/www/dcat/81bbfc2b3e0c3589fb5f868f157f0f65/catalog.rdf
6130cf6124e6decfb8473234,DACO SOLUTIONS,0.0,,,,,
612fed26b9fad65ebaa02768,L'Arche.info,0.0,,,,,
612e422050eafaea90716558,TotalEnergies Marketing France,1.0,,,,,
612de507e2b29cf3682caad1,ville de Vénissieux,0.0,,,,,
612ce47222add31351c64ad7,Terrasses Paris,1.0,,,,,
61291b29477206803864fc2c,MUZIK & SENS,0.0,,,,,
61275b009c256db62f022a11,Virta,1.0,,,,,
612748a7c993625946f199e2,Inokufu,0.0,,,,,
612649b196aad364f3f1a7a8,OFFICE DE TOURISME METROPOLITAIN NICE COTE D'AZUR,0.0,,,,,
61252aeb56a469fe0fc5670c,COOPGO,0.0,,,,,
6124fb343c1a6887c880af1b,Mission locale Paris Vallée de la Marne,0.0,,,,,
